"Instruction_Set","Instruction","Opcode","Operand_1","Operand_2","Bytes_Cycles","Flags_Z_N_H_C","Hex","Binary","Binary_Split","Binary_Prefix","Binary_Split1","Binary_Split2","Binary_Split3"
"Base","JP NC,a16","JP","NC","a16","3  16/12","- - - -","D2","11010010","11 010 010","","11","010","010"
"Base","NOT USED","","","","","","D3","11010011","11 010 011","","11","010","011"
"Base","CALL NC,a16","CALL","NC","a16","3  24/12","- - - -","D4","11010100","11 010 100","","11","010","100"
"Base","PUSH DE","PUSH","DE","","1  16","- - - -","D5","11010101","11 010 101","","11","010","101"
"Base","SUB d8","SUB","d8","","2  8","Z 1 H C","D6","11010110","11 010 110","","11","010","110"
"Base","RST 10H","RST","10H","","1  16","- - - -","D7","11010111","11 010 111","","11","010","111"
"Base","RET C","RET","C","","1  20/8","- - - -","D8","11011000","11 011 000","","11","011","000"
"Base","RETI","RETI","","","1  16","- - - -","D9","11011001","11 011 001","","11","011","001"
"Base","JP C,a16","JP","C","a16","3  16/12","- - - -","DA","11011010","11 011 010","","11","011","010"
"Base","NOT USED","","","","","","DB","11011011","11 011 011","","11","011","011"
"Base","CALL C,a16","CALL","C","a16","3  24/12","- - - -","DC","11011100","11 011 100","","11","011","100"
"Base","NOT USED","","","","","","DD","11011101","11 011 101","","11","011","101"
"Base","SBC A,d8","SBC","A","d8","2  8","Z 1 H C","DE","11011110","11 011 110","","11","011","110"
"Base","RST 18H","RST","18H","","1  16","- - - -","DF","11011111","11 011 111","","11","011","111"
"Base","LDH (a8),A","LDH","(a8)","A","2  12","- - - -","E0","11100000","11 100 000","","11","100","000"
"Base","POP HL","POP","HL","","1  12","- - - -","E1","11100001","11 100 001","","11","100","001"
"Base","LD (C),A","LD","(C)","A","2  8","- - - -","E2","11100010","11 100 010","","11","100","010"
"Base","NOT USED","","","","","","E3","11100011","11 100 011","","11","100","011"
"Base","NOT USED","","","","","","E4","11100100","11 100 100","","11","100","100"
"Base","PUSH HL","PUSH","HL","","1  16","- - - -","E5","11100101","11 100 101","","11","100","101"
"Base","AND d8","AND","d8","","2  8","Z 0 1 0","E6","11100110","11 100 110","","11","100","110"
"Base","RST 20H","RST","20H","","1  16","- - - -","E7","11100111","11 100 111","","11","100","111"
"Base","ADD SP,r8","ADD","SP","r8","2  16","0 0 H C","E8","11101000","11 101 000","","11","101","000"
"Base","JP (HL)","JP","(HL)","","1  4","- - - -","E9","11101001","11 101 001","","11","101","001"
"Base","LD (a16),A","LD","(a16)","A","3  16","- - - -","EA","11101010","11 101 010","","11","101","010"
"Base","NOT USED","","","","","","EB","11101011","11 101 011","","11","101","011"
"Base","NOT USED","","","","","","EC","11101100","11 101 100","","11","101","100"
"Base","NOT USED","","","","","","ED","11101101","11 101 101","","11","101","101"
"Base","XOR d8","XOR","d8","","2  8","Z 0 0 0","EE","11101110","11 101 110","","11","101","110"
"Base","RST 28H","RST","28H","","1  16","- - - -","EF","11101111","11 101 111","","11","101","111"
"Base","LDH A,(a8)","LDH","A","(a8)","2  12","- - - -","F0","11110000","11 110 000","","11","110","000"
"Base","POP AF","POP","AF","","1  12","Z N H C","F1","11110001","11 110 001","","11","110","001"
"Base","LD A,(C)","LD","A","(C)","2  8","- - - -","F2","11110010","11 110 010","","11","110","010"
"Base","DI","DI","","","1  4","- - - -","F3","11110011","11 110 011","","11","110","011"
"Base","NOT USED","","","","","","F4","11110100","11 110 100","","11","110","100"
"Base","PUSH AF","PUSH","AF","","1  16","- - - -","F5","11110101","11 110 101","","11","110","101"
"Base","OR d8","OR","d8","","2  8","Z 0 0 0","F6","11110110","11 110 110","","11","110","110"
